ID;Fecha Modificacion;Fecha Descarga;Id_Departamento;Cod_Departamento;Departamento_es;Departamento_eu;Fecha Inicio Dpto;Fecha Fin Dpto;Tipo_Estructura;Tipo_Organo_es;Tipo Organo_eu;Id_Organo;Cod_Organo;Organo_es;Organo_eu;Fecha Inicio Org;Fecha Fin Org;Id_CentroOrg;Cod_CentroOrg;CentroOrg_es;CentroOrg_eu;Fecha Inicio Centro;Id_TipoCentro;TipoCentro_es;TipoCentro_eu;Cod_CentroSAP;Centro_dest.or;Centro_Destino;Calle/Numero;CP;Pais;Municipio;Localidad;Telefono;Fax;Correo_Electronico;Id_Posicion;Cod_Posicion;Posicion_es;Posicion_eu;GR.PER;Des.ES.grupo;Des.EU.grupo;APER;Des.ES.area;Des.EU.area;Id_TipoCargo;TipoCargo_es;TipoCargo_eu;Id_Empleado;DatosPersonales;Fecha Nombramiento;BOPV Nombramiento;
3015;23/10/2020;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;5766;53300000000; Dirección de Pesca y Acuicultura; Arrantza eta Akuikultura Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;411921;9104/11;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;28;AZCUE MUGICA, LEANDRO;04/01/2013;003/2013;
3302;09/10/2020;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;90;FSP - Fundación Sector Público;SPF - Sektore Publikoko Fundazioa;30001645;9,10E+11; Fundación HAZI; HAZI Fundazioa;01/01/1980;31/12/9999;30001645;9,10E+11; Fundación HAZI; HAZI Fundazioa;01/01/1980;C40;FSP – FUNDACIÓN SECTOR PÚBLICO;SPF- SEKTORE PUBLIKOKO FUNDAZIOA;;;;;;;;;;;;60007951;7015/1;DIRECTOR/A GERENTE;ZUZENDARI GERENTEA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD03;Resto Rangos de Cargos;Gainerako karguen mailak;29;MANTEROLA ARTETA, PELI;03/10/2020;;
3589;11/07/2023;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;6790;50000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60032038;5223/13;ASESOR/A EN COMUNICACIONES;AHOLKULARIA KOMUNIKAZIO GAIETAN;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;31;ERKOREKA BARRENETXEA, ANA;23/06/2023;131/2023;
3876;08/05/2023;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;5836;10100000000; Dirección del Gabinete; Kabinete Zuzendaritza;15/04/2023;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;422728;9104/111;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;34;EREZCANO BUSTINZA, MIREN EDURNE;15/04/2023;85/2023;
4163;23/10/2020;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;6044;53000000000; Viceconsejería de Agricultura, Pesca y Política Alimentaria; Nekazaritzako, Arrantzako eta Elikagai Politikako Sailburuordetza;08/09/2020;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;411463;9103/16;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;36;OROZ IZAGUIRRE, VICTOR;25/04/2013;079/2013;
4450;31/03/2021;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;5418;20100000000; Dirección del Gabinete del Vicelehendakari Primero y Consejero de Seguridad;L. LEHENDAKARIORDE ETA SEG.SAILB. KAB.Z.;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;428158;9104/82;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;37;GONZALEZ SAN SEBASTIAN, TATIANA BEGOÑA;30/01/2021;21/2021;
4737;15/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;5600;90000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;410812;9102/3;CONSEJERO/A DEL DEPARTAMENTO;SAILBURUA;A;Miembro Gobierno;Gobernuko kidea;A1;Miembro de Gobierno;Jaurlaritzako kidea;AC03;Consejero/a;Sailburua;45;SAGARDUI GOIKOETXEA, MIREN GOTZONE;08/09/2020;177/2020;
5024;17/11/2020;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30003295;9,07E+11;  SPRI-Agencia Vasca de Desarrollo Empresarial;  SPRI-Enpresen Garapenerako Euskal Agentzia;01/01/2019;31/12/9999;30003204;9,07E+11; Dirección General; Zuzendaritza Nagusia;01/01/2019;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;;;;;;;;;;;;60052017;7041/1;DIRECTOR/A GENERAL;ZUZENDARI OROKORRA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD01;Rango Viceconsejero/a;Sailburuorde maila;47;URZELAI INZA, AITOR;18/09/2020;184/2020;
5311;23/10/2020;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;5868;1,02E+11; Viceconsejería de Políticas Sociales; Gizarte Politiketako Sailburuordetza;30/01/2021;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;439843;9103/30;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;48;AMILIBIA BERGARETXE, LIDE;12/06/2015;109/2015;
5598;17/10/2020;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;30002654;1,10E+11; Dirección del Gabinete y Medios de Comunicación Social; Kabinetearen eta Gizarte Hedabideen Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60032967;9104/171;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;58;ZEBERIO GANZARAIN, NEKANE;26/06/2019;122/2019;
5885;16/10/2020;16/01/2024;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;6598;70000000000; Consejería; Kontseilaritza;28/11/2016;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;411767;5223/3;ASESOR/A EN COMUNICACIONES;AHOLKULARIA KOMUNIKAZIO GAIETAN;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;59;ZUBIZARRETA ORMAETXEA, AITZOL;08/09/2020;188/2020;
6172;31/03/2022;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001638;9,07E+11; Euskal Irrati Telebista-Radio Televisión Vasca (EITB); Euskal Irrati Telebista-Radio Televisión Vasca (EITB);01/01/1980;31/12/9999;30001639;9,07E+11; Dirección General; Zuzendaritza Nagusia;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60075496;7047/1;DIRECTOR/A ESTRATEGIA Y COMUNIC. CORP.;ESTRATEGIA ETA KOMUNIK. KORP. ZUZENDARIA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD03;Resto Rangos de Cargos;Gainerako karguen mailak;60;OCTAVIO URANGA, ISABEL CARMEN;06/03/2021;86/2021;
6459;31/03/2021;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;5018;51200000000; Dirección de Transformación Digital y Emprendimiento;ERALDAKETA DIGIT. ETA EKINTZAILE. ZUZ.;06/03/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;440503;9104/93;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;69;MADARIAGA GANGOITI, LEYRE;06/03/2021;47/2021;
6746;23/10/2020;16/01/2024;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;5111;42100000000; Dirección de Desarrollo Legislativo y Control Normativo; Lege Garapen eta Arau Kontrolerako Zuzendaritza;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;417747;9104/28;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;70;UNANUE ORTEGA, XABIER;17/01/2013;012/2013;
7033;31/03/2021;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;6822;11200000000; Dirección de Coordinación; Koordinazio Zuzendaritza;15/04/2023;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;429310;9104/23;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;74;PETRICORENA ARBELAIZ, LUIS MARIA;23/01/2021;15/2021;
7320;17/10/2020;16/01/2024;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;5559;64000000000; Viceconsejería de Hacienda; Ogasun Sailburuordetza;06/03/2021;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;423485;9103/6;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;76;AGIRRE BERRIOTXOA, MIREN ITZIAR;11/09/2017;172/2017;
7607;27/10/2020;16/01/2024;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;5632;40100000000; Dirección de Servicios; Zerbitzu Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;416648;9104/9;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;85;JAUREGIBERRI GOENAGA, AMAIA;11/09/2020;179/2020;
7894;11/10/2023;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;5846;1,00E+11; Dirección de Gabinete; Kabinete Zuzendaritza;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;428871;9104/45;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;103;REKA ESPARZA, ANA MARIA;07/10/2023;192/2023;
8181;05/11/2020;16/01/2024;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;6272;71200000000; Dirección de Gestión de Personal; Langileriaren Kudeaketa Zuzendaritza;28/11/2016;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;434350;9104/89;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;106;GUERRERO OCEJO, BLANCA MARIA;03/10/2020;195/2020;
